ccaa;año;activos_adulto;activos_joven
Andalucía;2008;1856,6;1504,4
Andalucía;2009;1940,0;1497,9
Andalucía;2010;2016,3;1480,2
Andalucía;2011;2081,1;1426,2
Andalucía;2012;2166,7;1383,7
Andalucía;2013;2183,7;1334,2
Andalucía;2014;2216,7;1286,7
Andalucía;2015;2247,1;1224,7
Andalucía;2016;2230,3;1152,7
Andalucía;2017;2208,9;1119,5
Andalucía;2018;2215,5;1070,0
Andalucía;2019;2214,7;1057,0
Andalucía;2020;2155,7;1025,3
Andalucía;2021;2210,0;1056,4
Andalucía;2022;2210,5;1047,8
Andalucía;2023;2225,1;1071,7
Andalucía;2024;2219,8;1045,0
Aragón;2008;339,7;240,4
Aragón;2009;349,8;227,7
Aragón;2010;351,9;218,2
Aragón;2011;357,6;209,8
Aragón;2012;367,9;203,6
Aragón;2013;366,7;191,8
Aragón;2014;369,4;181,4
Aragón;2015;369,2;169,8
Aragón;2016;369,7;163,0
Aragón;2017;363,2;158,5
Aragón;2018;361,8;155,3
Aragón;2019;363,2;158,9
Aragón;2020;356,1;155,1
Aragón;2021;360,4;156,0
Aragón;2022;358,2;156,2
Aragón;2023;359,6;160,7
Aragón;2024;354,9;164,0
Asturias, Principado de;2008;254,2;173,3
Asturias, Principado de;2009;255,5;168,0
Asturias, Principado de;2010;264,1;158,3
Asturias, Principado de;2011;268,2;148,1
Asturias, Principado de;2012;271,8;142,0
Asturias, Principado de;2013;273,9;136,8
Asturias, Principado de;2014;272,9;125,3
Asturias, Principado de;2015;271,7;112,2
Asturias, Principado de;2016;275,9;109,0
Asturias, Principado de;2017;269,9;99,3
Asturias, Principado de;2018;266,5;93,1
Asturias, Principado de;2019;265,0;90,9
Asturias, Principado de;2020;259,6;86,2
Asturias, Principado de;2021;261,4;84,2
Asturias, Principado de;2022;251,5;85,2
Asturias, Principado de;2023;250,1;88,3
Asturias, Principado de;2024;253,4;91,0
Balears, Illes;2008;271,7;224,3
Balears, Illes;2009;287,9;223,7
Balears, Illes;2010;303,4;215,0
Balears, Illes;2011;305,8;205,1
Balears, Illes;2012;318,3;204,2
Balears, Illes;2013;325,7;199,3
Balears, Illes;2014;326,0;186,4
Balears, Illes;2015;336,6;180,5
Balears, Illes;2016;343,9;173,5
Balears, Illes;2017;343,0;166,6
Balears, Illes;2018;349,6;176,5
Balears, Illes;2019;354,7;179,1
Balears, Illes;2020;348,1;165,3
Balears, Illes;2021;344,4;160,1
Balears, Illes;2022;351,1;166,6
Balears, Illes;2023;348,0;174,1
Balears, Illes;2024;346,9;185,8
Canarias;2008;507,1;382,3
Canarias;2009;541,8;380,3
Canarias;2010;562,0;367,9
Canarias;2011;586,5;363,2
Canarias;2012;606,9;351,4
Canarias;2013;609,8;344,0
Canarias;2014;619,3;329,0
Canarias;2015;629,0;323,2
Canarias;2016;631,6;309,2
Canarias;2017;627,9;299,8
Canarias;2018;636,4;299,1
Canarias;2019;641,3;300,3
Canarias;2020;611,7;282,4
Canarias;2021;595,0;280,5
Canarias;2022;609,9;290,6
Canarias;2023;608,8;305,3
Canarias;2024;612,2;301,9
Cantabria;2008;146,4;100,5
Cantabria;2009;150,3;100,3
Cantabria;2010;152,1;94,4
Cantabria;2011;154,8;90,1
Cantabria;2012;157,3;85,4
Cantabria;2013;159,8;78,7
Cantabria;2014;160,3;74,1
Cantabria;2015;158,7;70,4
Cantabria;2016;161,1;65,8
Cantabria;2017;161,8;62,8
Cantabria;2018;157,5;58,0
Cantabria;2019;159,7;56,5
Cantabria;2020;155,0;55,1
Cantabria;2021;158,2;57,6
Cantabria;2022;155,5;57,4
Cantabria;2023;156,3;57,9
Cantabria;2024;157,1;60,3
Castilla - La Mancha;2008;468,5;383,9
Castilla - La Mancha;2009;490,4;381,5
Castilla - La Mancha;2010;508,0;374,0
Castilla - La Mancha;2011;528,2;370,1
Castilla - La Mancha;2012;540,7;349,6
Castilla - La Mancha;2013;548,3;333,3
Castilla - La Mancha;2014;549,4;315,7
Castilla - La Mancha;2015;547,9;297,2
Castilla - La Mancha;2016;549,2;276,9
Castilla - La Mancha;2017;549,4;272,3
Castilla - La Mancha;2018;545,9;262,2
Castilla - La Mancha;2019;541,9;258,6
Castilla - La Mancha;2020;539,9;244,7
Castilla - La Mancha;2021;549,6;250,9
Castilla - La Mancha;2022;546,5;258,4
Castilla - La Mancha;2023;547,9;258,1
Castilla - La Mancha;2024;550,5;259,8
Castilla y León;2008;613,1;406,3
Castilla y León;2009;626,6;389,4
Castilla y León;2010;637,3;382,7
Castilla y León;2011;648,0;365,0
Castilla y León;2012;655,0;349,0
Castilla y León;2013;652,8;327,1
Castilla y León;2014;656,5;303,1
Castilla y León;2015;646,3;288,9
Castilla y León;2016;640,3;276,4
Castilla y León;2017;633,6;263,7
Castilla y León;2018;625,7;252,7
Castilla y León;2019;617,1;248,6
Castilla y León;2020;603,0;239,8
Castilla y León;2021;601,0;235,7
Castilla y León;2022;597,8;236,2
Castilla y León;2023;593,9;236,3
Castilla y León;2024;585,4;242,0
Cataluña;2008;1891,0;1476,2
Cataluña;2009;1956,2;1414,3
Cataluña;2010;2015,6;1368,1
Cataluña;2011;2076,4;1319,3
Cataluña;2012;2100,3;1237,5
Cataluña;2013;2124,6;1161,6
Cataluña;2014;2130,2;1092,8
Cataluña;2015;2125,4;1036,7
Cataluña;2016;2142,5;998,8
Cataluña;2017;2146,2;984,8
Cataluña;2018;2127,9;997,3
Cataluña;2019;2137,0;1020,5
Cataluña;2020;2094,0;999,5
Cataluña;2021;2153,9;1033,5
Cataluña;2022;2131,2;1054,7
Cataluña;2023;2140,5;1104,2
Cataluña;2024;2132,4;1143,5
Ceuta;2008;15,5;12,9
Ceuta;2009;16,8;13,7
Ceuta;2010;16,6;14,1
Ceuta;2011;17,6;13,7
Ceuta;2012;19,1;14,1
Ceuta;2013;20,6;12,4
Ceuta;2014;20,1;12,7
Ceuta;2015;20,1;12,1
Ceuta;2016;21,2;11,0
Ceuta;2017;18,0;12,5
Ceuta;2018;19,1;12,6
Ceuta;2019;18,1;12,2
Ceuta;2020;16,2;11,7
Ceuta;2021;16,2;10,6
Ceuta;2022;19,3;10,7
Ceuta;2023;21,1;10,5
Ceuta;2024;19,7;11,3
Comunitat Valenciana;2008;1202,3;965,5
Comunitat Valenciana;2009;1250,4;929,4
Comunitat Valenciana;2010;1287,9;881,8
Comunitat Valenciana;2011;1320,8;839,5
Comunitat Valenciana;2012;1348,0;794,0
Comunitat Valenciana;2013;1368,3;740,8
Comunitat Valenciana;2014;1369,2;698,1
Comunitat Valenciana;2015;1379,2;662,1
Comunitat Valenciana;2016;1381,0;636,6
Comunitat Valenciana;2017;1377,3;626,3
Comunitat Valenciana;2018;1378,2;599,3
Comunitat Valenciana;2019;1376,4;594,3
Comunitat Valenciana;2020;1346,8;584,4
Comunitat Valenciana;2021;1359,6;601,2
Comunitat Valenciana;2022;1380,4;624,0
Comunitat Valenciana;2023;1401,1;668,8
Comunitat Valenciana;2024;1408,6;677,6
Extremadura;2008;246,6;173,6
Extremadura;2009;253,0;173,1
Extremadura;2010;259,1;174,9
Extremadura;2011;262,0;170,8
Extremadura;2012;271,7;168,2
Extremadura;2013;275,0;168,3
Extremadura;2014;271,4;159,5
Extremadura;2015;271,8;152,5
Extremadura;2016;273,8;145,1
Extremadura;2017;270,7;141,7
Extremadura;2018;268,2;135,0
Extremadura;2019;264,1;134,4
Extremadura;2020;256,8;128,9
Extremadura;2021;265,3;126,5
Extremadura;2022;263,2;125,4
Extremadura;2023;262,5;124,4
Extremadura;2024;258,9;119,8
Galicia;2008;656,8;462,8
Galicia;2009;666,8;452,7
Galicia;2010;682,8;424,3
Galicia;2011;702,8;412,2
Galicia;2012;709,2;400,4
Galicia;2013;716,5;373,7
Galicia;2014;719,6;350,6
Galicia;2015;719,3;328,7
Galicia;2016;725,1;311,7
Galicia;2017;725,7;293,9
Galicia;2018;725,1;280,6
Galicia;2019;725,2;271,6
Galicia;2020;709,8;255,0
Galicia;2021;710,1;251,9
Galicia;2022;710,7;257,3
Galicia;2023;698,9;265,0
Galicia;2024;695,1;270,0
Madrid, Comunidad de;2008;1673,8;1305,0
Madrid, Comunidad de;2009;1748,0;1272,9
Madrid, Comunidad de;2010;1808,4;1230,9
Madrid, Comunidad de;2011;1839,9;1150,3
Madrid, Comunidad de;2012;1881,4;1090,3
Madrid, Comunidad de;2013;1883,4;1026,6
Madrid, Comunidad de;2014;1883,3;969,4
Madrid, Comunidad de;2015;1931,8;937,3
Madrid, Comunidad de;2016;1943,1;886,4
Madrid, Comunidad de;2017;1936,6;859,8
Madrid, Comunidad de;2018;1929,9;889,0
Madrid, Comunidad de;2019;1946,3;891,5
Madrid, Comunidad de;2020;1930,5;879,4
Madrid, Comunidad de;2021;1942,7;913,0
Madrid, Comunidad de;2022;1942,0;940,7
Madrid, Comunidad de;2023;1957,4;978,5
Madrid, Comunidad de;2024;1973,4;1019,4
Melilla;2008;16,2;10,4
Melilla;2009;15,8;10,7
Melilla;2010;17,5;10,0
Melilla;2011;18,3;10,4
Melilla;2012;19,1;11,8
Melilla;2013;17,9;13,3
Melilla;2014;17,7;10,8
Melilla;2015;16,6;11,8
Melilla;2016;16,8;12,1
Melilla;2017;20,0;10,6
Melilla;2018;21,2;11,2
Melilla;2019;20,1;11,3
Melilla;2020;20,8;11,0
Melilla;2021;21,8;11,3
Melilla;2022;18,3;12,0
Melilla;2023;15,7;13,0
Melilla;2024;18,9;12,1
Murcia, Región de;2008;331,2;292,4
Murcia, Región de;2009;349,0;281,8
Murcia, Región de;2010;365,7;272,1
Murcia, Región de;2011;377,9;260,3
Murcia, Región de;2012;388,9;251,9
Murcia, Región de;2013;395,3;236,9
Murcia, Región de;2014;399,9;226,0
Murcia, Región de;2015;390,5;216,2
Murcia, Región de;2016;393,1;203,9
Murcia, Región de;2017;398,9;192,1
Murcia, Región de;2018;398,3;194,7
Murcia, Región de;2019;400,8;195,2
Murcia, Región de;2020;391,7;193,6
Murcia, Región de;2021;405,6;194,6
Murcia, Región de;2022;406,0;196,4
Murcia, Región de;2023;411,0;201,8
Murcia, Región de;2024;406,8;208,6
Navarra, Comunidad Foral de;2008;162,7;112,9
Navarra, Comunidad Foral de;2009;165,1;109,5
