ccaa;año;emig_2034
Andalucía;2008;1452
Andalucía;2009;1448
Andalucía;2010;1640
Andalucía;2011;2282
Andalucía;2012;2473
Andalucía;2013;3071
Andalucía;2014;3656
Andalucía;2015;4380
Andalucía;2016;4194
Andalucía;2017;3535
Andalucía;2018;3222
Andalucía;2019;3778
Andalucía;2020;2881
Andalucía;2021;5536
Andalucía;2022;4828
Andalucía;2023;4811
Andalucía;2024;5290
Aragón;2008;274
Aragón;2009;311
Aragón;2010;283
Aragón;2011;425
Aragón;2012;436
Aragón;2013;540
Aragón;2014;578
Aragón;2015;801
Aragón;2016;688
Aragón;2017;574
Aragón;2018;524
Aragón;2019;585
Aragón;2020;245
Aragón;2021;707
Aragón;2022;629
Aragón;2023;720
Aragón;2024;733
Asturias, Principado de;2008;280
Asturias, Principado de;2009;297
Asturias, Principado de;2010;248
Asturias, Principado de;2011;428
Asturias, Principado de;2012;435
Asturias, Principado de;2013;521
Asturias, Principado de;2014;620
Asturias, Principado de;2015;983
Asturias, Principado de;2016;592
Asturias, Principado de;2017;498
Asturias, Principado de;2018;451
Asturias, Principado de;2019;507
Asturias, Principado de;2020;366
Asturias, Principado de;2021;567
Asturias, Principado de;2022;389
Asturias, Principado de;2023;417
Asturias, Principado de;2024;404
Balears, Illes;2008;303
Balears, Illes;2009;283
Balears, Illes;2010;334
Balears, Illes;2011;438
Balears, Illes;2012;372
Balears, Illes;2013;556
Balears, Illes;2014;608
Balears, Illes;2015;435
Balears, Illes;2016;685
Balears, Illes;2017;603
Balears, Illes;2018;603
Balears, Illes;2019;563
Balears, Illes;2020;552
Balears, Illes;2021;1233
Balears, Illes;2022;1069
Balears, Illes;2023;1034
Balears, Illes;2024;1286
Canarias;2008;568
Canarias;2009;541
Canarias;2010;660
Canarias;2011;886
Canarias;2012;815
Canarias;2013;1121
Canarias;2014;1239
Canarias;2015;987
Canarias;2016;1427
Canarias;2017;1180
Canarias;2018;1071
Canarias;2019;985
Canarias;2020;902
Canarias;2021;1610
Canarias;2022;1344
Canarias;2023;1464
Canarias;2024;1485
Cantabria;2008;130
Cantabria;2009;109
Cantabria;2010;124
Cantabria;2011;189
Cantabria;2012;183
Cantabria;2013;235
Cantabria;2014;282
Cantabria;2015;459
Cantabria;2016;299
Cantabria;2017;244
Cantabria;2018;296
Cantabria;2019;236
Cantabria;2020;222
Cantabria;2021;301
Cantabria;2022;294
Cantabria;2023;306
Cantabria;2024;365
Castilla - La Mancha;2008;219
Castilla - La Mancha;2009;224
Castilla - La Mancha;2010;269
Castilla - La Mancha;2011;444
Castilla - La Mancha;2012;462
Castilla - La Mancha;2013;704
Castilla - La Mancha;2014;882
Castilla - La Mancha;2015;1233
Castilla - La Mancha;2016;968
Castilla - La Mancha;2017;836
Castilla - La Mancha;2018;683
Castilla - La Mancha;2019;752
Castilla - La Mancha;2020;660
Castilla - La Mancha;2021;1018
Castilla - La Mancha;2022;805
Castilla - La Mancha;2023;989
Castilla - La Mancha;2024;1025
Castilla y León;2008;576
Castilla y León;2009;496
Castilla y León;2010;515
Castilla y León;2011;790
Castilla y León;2012;641
Castilla y León;2013;1033
Castilla y León;2014;1200
Castilla y León;2015;1848
Castilla y León;2016;1251
Castilla y León;2017;1010
Castilla y León;2018;869
Castilla y León;2019;1202
Castilla y León;2020;801
Castilla y León;2021;1185
Castilla y León;2022;925
Castilla y León;2023;1189
Castilla y León;2024;1087
Cataluña;2008;2114
Cataluña;2009;2097
Cataluña;2010;2541
Cataluña;2011;3239
Cataluña;2012;3622
Cataluña;2013;3999
Cataluña;2014;4742
Cataluña;2015;5692
Cataluña;2016;5068
Cataluña;2017;4933
Cataluña;2018;5028
Cataluña;2019;4883
Cataluña;2020;4036
Cataluña;2021;10520
Cataluña;2022;9470
Cataluña;2023;9698
Cataluña;2024;9870
Ceuta;2008;37
Ceuta;2009;27
Ceuta;2010;38
Ceuta;2011;47
Ceuta;2012;34
Ceuta;2013;42
Ceuta;2014;52
Ceuta;2015;60
Ceuta;2016;52
Ceuta;2017;52
Ceuta;2018;74
Ceuta;2019;68
Ceuta;2020;51
Ceuta;2021;84
Ceuta;2022;71
Ceuta;2023;63
Ceuta;2024;64
Comunitat Valenciana;2008;1025
Comunitat Valenciana;2009;1074
Comunitat Valenciana;2010;1239
Comunitat Valenciana;2011;1761
Comunitat Valenciana;2012;1979
Comunitat Valenciana;2013;2480
Comunitat Valenciana;2014;2827
Comunitat Valenciana;2015;3026
Comunitat Valenciana;2016;2885
Comunitat Valenciana;2017;2470
Comunitat Valenciana;2018;2291
Comunitat Valenciana;2019;2546
Comunitat Valenciana;2020;2006
Comunitat Valenciana;2021;3554
Comunitat Valenciana;2022;3248
Comunitat Valenciana;2023;3131
Comunitat Valenciana;2024;3751
Extremadura;2008;142
Extremadura;2009;131
Extremadura;2010;153
Extremadura;2011;201
Extremadura;2012;212
Extremadura;2013;285
Extremadura;2014;370
Extremadura;2015;540
Extremadura;2016;374
Extremadura;2017;359
Extremadura;2018;277
Extremadura;2019;359
Extremadura;2020;273
Extremadura;2021;321
Extremadura;2022;253
Extremadura;2023;264
Extremadura;2024;278
Galicia;2008;902
Galicia;2009;940
Galicia;2010;986
Galicia;2011;1300
Galicia;2012;1325
Galicia;2013;1602
Galicia;2014;1659
Galicia;2015;2184
Galicia;2016;1763
Galicia;2017;1458
Galicia;2018;1263
Galicia;2019;1366
Galicia;2020;1079
Galicia;2021;1481
Galicia;2022;1334
Galicia;2023;1649
Galicia;2024;1496
Madrid, Comunidad de;2008;2732
Madrid, Comunidad de;2009;2692
Madrid, Comunidad de;2010;2962
Madrid, Comunidad de;2011;4427
Madrid, Comunidad de;2012;4205
Madrid, Comunidad de;2013;5341
Madrid, Comunidad de;2014;6193
Madrid, Comunidad de;2015;7029
Madrid, Comunidad de;2016;6602
Madrid, Comunidad de;2017;5897
Madrid, Comunidad de;2018;5215
Madrid, Comunidad de;2019;5506
Madrid, Comunidad de;2020;4665
Madrid, Comunidad de;2021;10716
Madrid, Comunidad de;2022;9854
Madrid, Comunidad de;2023;5651
Madrid, Comunidad de;2024;7897
Melilla;2008;24
Melilla;2009;41
Melilla;2010;40
Melilla;2011;55
Melilla;2012;44
Melilla;2013;71
