nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Total,2020,248561,EM
Total,Ambos sexos,Total,2019,296248,EM
Total,Ambos sexos,Total,2018,309526,EM
Total,Ambos sexos,Total,2017,368860,EM
Total,Ambos sexos,Total,2016,327325,EM
Total,Ambos sexos,Total,2015,343875,EM
Total,Ambos sexos,Total,2014,400430,EM
Total,Ambos sexos,Total,2013,532303,EM
Total,Ambos sexos,Total,2012,446606,EM
Total,Ambos sexos,Total,2011,409034,EM
Total,Ambos sexos,Total,2010,403379,EM
Total,Ambos sexos,Total,2009,380118,EM
Total,Ambos sexos,Total,2008,288432,EM
Total,Ambos sexos,UE27_2020 sin España,2020,102718,EM
Total,Ambos sexos,UE27_2020 sin España,2019,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2018,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2017,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2016,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2015,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2014,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2013,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2012,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2011,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2010,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2009,NA,EM
Total,Ambos sexos,UE27_2020 sin España,2008,NA,EM
Total,Ambos sexos,UE28 sin España,2020,NA,EM
Total,Ambos sexos,UE28 sin España,2019,155673,EM
Total,Ambos sexos,UE28 sin España,2018,167531,EM
Total,Ambos sexos,UE28 sin España,2017,204588,EM
Total,Ambos sexos,UE28 sin España,2016,175927,EM
Total,Ambos sexos,UE28 sin España,2015,179526,EM
Total,Ambos sexos,UE28 sin España,2014,192945,EM
Total,Ambos sexos,UE28 sin España,2013,215362,EM
Total,Ambos sexos,UE28 sin España,2012,175230,EM
Total,Ambos sexos,UE28 sin España,2011,147733,EM
Total,Ambos sexos,UE28 sin España,2010,163405,EM
Total,Ambos sexos,UE28 sin España,2009,156418,EM
Total,Ambos sexos,UE28 sin España,2008,112448,EM
Total,Ambos sexos,Bélgica,2020,3811,EM
Total,Ambos sexos,Bélgica,2019,4010,EM
Total,Ambos sexos,Bélgica,2018,3897,EM
Total,Ambos sexos,Bélgica,2017,4551,EM
Total,Ambos sexos,Bélgica,2016,5759,EM
Total,Ambos sexos,Bélgica,2015,6437,EM
Total,Ambos sexos,Bélgica,2014,6852,EM
Total,Ambos sexos,Bélgica,2013,7305,EM
Total,Ambos sexos,Bélgica,2012,6358,EM
Total,Ambos sexos,Bélgica,2011,8188,EM
Total,Ambos sexos,Bélgica,2010,5833,EM
Total,Ambos sexos,Bélgica,2009,5554,EM
Total,Ambos sexos,Bélgica,2008,3682,EM
Total,Ambos sexos,Bulgaria,2020,4924,EM
Total,Ambos sexos,Bulgaria,2019,6912,EM
Total,Ambos sexos,Bulgaria,2018,7527,EM
Total,Ambos sexos,Bulgaria,2017,8344,EM
Total,Ambos sexos,Bulgaria,2016,7948,EM
Total,Ambos sexos,Bulgaria,2015,8716,EM
Total,Ambos sexos,Bulgaria,2014,10110,EM
Total,Ambos sexos,Bulgaria,2013,12718,EM
Total,Ambos sexos,Bulgaria,2012,10742,EM
Total,Ambos sexos,Bulgaria,2011,8161,EM
Total,Ambos sexos,Bulgaria,2010,11078,EM
Total,Ambos sexos,Bulgaria,2009,11174,EM
Total,Ambos sexos,Bulgaria,2008,6957,EM
Total,Ambos sexos,Dinamarca,2020,931,EM
Total,Ambos sexos,Dinamarca,2019,1149,EM
Total,Ambos sexos,Dinamarca,2018,1103,EM
Total,Ambos sexos,Dinamarca,2017,1310,EM
Total,Ambos sexos,Dinamarca,2016,1264,EM
Total,Ambos sexos,Dinamarca,2015,1308,EM
Total,Ambos sexos,Dinamarca,2014,986,EM
Total,Ambos sexos,Dinamarca,2013,852,EM
Total,Ambos sexos,Dinamarca,2012,756,EM
Total,Ambos sexos,Dinamarca,2011,716,EM
Total,Ambos sexos,Dinamarca,2010,851,EM
