ccaa;año;pob_2034
Andalucía;2008;1701697
Andalucía;2009;1672609
Andalucía;2010;1640692
Andalucía;2011;1607235
Andalucía;2012;1569038
Andalucía;2013;1527767
Andalucía;2014;1489296
Andalucía;2015;1448101
Andalucía;2016;1404918
Andalucía;2017;1367491
Andalucía;2018;1332482
Andalucía;2019;1303905
Andalucía;2020;1282504
Andalucía;2021;1270231
Andalucía;2022;1258574
Andalucía;2023;1248520
Andalucía;2024;1244559
Aragón;2008;221602
Aragón;2009;215320
Aragón;2010;208518
Aragón;2011;201619
Aragón;2012;194711
Aragón;2013;187828
Aragón;2014;182341
Aragón;2015;177104
Aragón;2016;171430
Aragón;2017;167606
Aragón;2018;163792
Aragón;2019;161594
Aragón;2020;159655
Aragón;2021;158924
Aragón;2022;158726
Aragón;2023;159105
Aragón;2024;160351
Asturias, Principado de;2008;201667
Asturias, Principado de;2009;195104
Asturias, Principado de;2010;186927
Asturias, Principado de;2011;178456
Asturias, Principado de;2012;169597
Asturias, Principado de;2013;160287
Asturias, Principado de;2014;152222
Asturias, Principado de;2015;143793
Asturias, Principado de;2016;136093
Asturias, Principado de;2017;129769
Asturias, Principado de;2018;124242
Asturias, Principado de;2019;119309
Asturias, Principado de;2020;115208
Asturias, Principado de;2021;112388
Asturias, Principado de;2022;109688
Asturias, Principado de;2023;107855
Asturias, Principado de;2024;107682
Balears, Illes;2008;187305
Balears, Illes;2009;185074
Balears, Illes;2010;181873
Balears, Illes;2011;178620
Balears, Illes;2012;175860
Balears, Illes;2013;173252
Balears, Illes;2014;172006
Balears, Illes;2015;169517
Balears, Illes;2016;166621
Balears, Illes;2017;165934
Balears, Illes;2018;164569
Balears, Illes;2019;164416
Balears, Illes;2020;164037
Balears, Illes;2021;162579
Balears, Illes;2022;161937
Balears, Illes;2023;163684
Balears, Illes;2024;166551
Canarias;2008;408911
Canarias;2009;399630
Canarias;2010;389554
Canarias;2011;380143
Canarias;2012;370865
Canarias;2013;362509
Canarias;2014;356283
Canarias;2015;347533
Canarias;2016;338817
Canarias;2017;332942
Canarias;2018;327543
Canarias;2019;324808
Canarias;2020;323782
Canarias;2021;322631
Canarias;2022;323554
Canarias;2023;324992
Canarias;2024;327786
Cantabria;2008;113504
Cantabria;2009;110561
Cantabria;2010;106961
Cantabria;2011;103010
Cantabria;2012;98298
Cantabria;2013;93521
Cantabria;2014;89358
Cantabria;2015;85209
Cantabria;2016;80825
Cantabria;2017;77536
Cantabria;2018;74874
Cantabria;2019;72542
Cantabria;2020;70771
Cantabria;2021;70206
Cantabria;2022;69527
Cantabria;2023;69001
Cantabria;2024;69173
Castilla - La Mancha;2008;377265
Castilla - La Mancha;2009;375286
Castilla - La Mancha;2010;371800
Castilla - La Mancha;2011;367116
Castilla - La Mancha;2012;358861
Castilla - La Mancha;2013;349784
Castilla - La Mancha;2014;340283
Castilla - La Mancha;2015;330059
Castilla - La Mancha;2016;318473
Castilla - La Mancha;2017;309358
Castilla - La Mancha;2018;300902
Castilla - La Mancha;2019;293879
Castilla - La Mancha;2020;288849
Castilla - La Mancha;2021;288168
Castilla - La Mancha;2022;286026
Castilla - La Mancha;2023;282887
Castilla - La Mancha;2024;282373
Castilla y León;2008;450581
Castilla y León;2009;436882
Castilla y León;2010;423096
Castilla y León;2011;409290
Castilla y León;2012;393275
Castilla y León;2013;377772
Castilla y León;2014;363600
Castilla y León;2015;348926
Castilla y León;2016;333453
Castilla y León;2017;321024
Castilla y León;2018;309962
Castilla y León;2019;300525
Castilla y León;2020;291836
Castilla y León;2021;287318
Castilla y León;2022;282528
Castilla y León;2023;278783
Castilla y León;2024;277766
Cataluña;2008;1254972
Cataluña;2009;1215804
Cataluña;2010;1174336
Cataluña;2011;1136306
Cataluña;2012;1097003
Cataluña;2013;1054078
Cataluña;2014;1022174
Cataluña;2015;998069
Cataluña;2016;970169
Cataluña;2017;951324
Cataluña;2018;937807
Cataluña;2019;928732
Cataluña;2020;926803
Cataluña;2021;930186
Cataluña;2022;937619
Cataluña;2023;951738
Cataluña;2024;974575
Ceuta;2008;16928
Ceuta;2009;17061
Ceuta;2010;17509
Ceuta;2011;17571
Ceuta;2012;17506
Ceuta;2013;17348
Ceuta;2014;17282
Ceuta;2015;16805
Ceuta;2016;16301
Ceuta;2017;16035
Ceuta;2018;15972
Ceuta;2019;15887
Ceuta;2020;15691
Ceuta;2021;15512
Ceuta;2022;15550
Ceuta;2023;15697
Ceuta;2024;15791
Comunitat Valenciana;2008;890757
Comunitat Valenciana;2009;869493
Comunitat Valenciana;2010;843139
Comunitat Valenciana;2011;818522
Comunitat Valenciana;2012;790013
Comunitat Valenciana;2013;760275
Comunitat Valenciana;2014;734386
Comunitat Valenciana;2015;710132
Comunitat Valenciana;2016;686620
Comunitat Valenciana;2017;669234
Comunitat Valenciana;2018;653924
Comunitat Valenciana;2019;644422
Comunitat Valenciana;2020;637755
Comunitat Valenciana;2021;636132
Comunitat Valenciana;2022;636912
Comunitat Valenciana;2023;640112
Comunitat Valenciana;2024;648825
Extremadura;2008;215833
Extremadura;2009;213516
Extremadura;2010;211397
Extremadura;2011;208576
Extremadura;2012;205191
Extremadura;2013;201796
Extremadura;2014;197997
Extremadura;2015;193122
Extremadura;2016;187563
Extremadura;2017;182167
Extremadura;2018;176330
Extremadura;2019;171199
Extremadura;2020;166896
Extremadura;2021;164536
Extremadura;2022;161555
Extremadura;2023;157221
Extremadura;2024;154611
Galicia;2008;546302
Galicia;2009;531304
Galicia;2010;514779
Galicia;2011;495545
Galicia;2012;474606
Galicia;2013;453246
Galicia;2014;433673
Galicia;2015;413099
Galicia;2016;392942
Galicia;2017;375694
Galicia;2018;361408
Galicia;2019;349792
Galicia;2020;340128
Galicia;2021;333993
Galicia;2022;329012
Galicia;2023;323754
Galicia;2024;321390
Madrid, Comunidad de;2008;1118751
Madrid, Comunidad de;2009;1087327
Madrid, Comunidad de;2010;1052563
Madrid, Comunidad de;2011;1023326
Madrid, Comunidad de;2012;994676
Madrid, Comunidad de;2013;967346
