ccaa;año;ipc
Andalucía;2008;73,1712500000000
Andalucía;2009;72,8320000000000
Andalucía;2010;74,1363333333333
Andalucía;2011;76,5245000000000
Andalucía;2012;78,1778333333333
Andalucía;2013;79,1730000000000
Andalucía;2014;78,9539166666667
Andalucía;2015;78,5214166666667
Andalucía;2016;78,3772500000000
Andalucía;2017;79,9022500000000
Andalucía;2018;81,1605000000000
Andalucía;2019;81,5599166666667
Andalucía;2020;81,3912500000000
Andalucía;2021;83,9465833333333
Andalucía;2022;91,2290000000000
Andalucía;2023;94,8026666666667
Andalucía;2024;97,3700833333333
Aragón;2008;73,4110833333333
Aragón;2009;73,1180000000000
Aragón;2010;74,4305000000000
Aragón;2011;76,7876666666667
Aragón;2012;78,6020000000000
Aragón;2013;79,6320000000000
Aragón;2014;79,3902500000000
Aragón;2015;78,8174166666667
Aragón;2016;78,6186666666667
Aragón;2017;80,0408333333333
Aragón;2018;81,3769166666667
Aragón;2019;81,9349166666667
Aragón;2020;81,5359166666667
Aragón;2021;84,3337500000000
Aragón;2022;91,9054166666667
Aragón;2023;94,6364166666667
Aragón;2024;97,3027500000000
Asturias, Principado de;2008;73,5215833333333
Asturias, Principado de;2009;73,1950833333333
Asturias, Principado de;2010;74,6297500000000
Asturias, Principado de;2011;77,2810833333333
Asturias, Principado de;2012;79,0359166666667
Asturias, Principado de;2013;80,1195833333333
Asturias, Principado de;2014;79,8569166666667
Asturias, Principado de;2015;79,3434166666667
Asturias, Principado de;2016;79,2575000000000
Asturias, Principado de;2017;80,6687500000000
Asturias, Principado de;2018;81,9071666666667
Asturias, Principado de;2019;82,2926666666667
Asturias, Principado de;2020;81,8757500000000
Asturias, Principado de;2021;84,3567500000000
Asturias, Principado de;2022;91,4475000000000
Asturias, Principado de;2023;94,5443333333333
Asturias, Principado de;2024;97,2461666666667
Balears, Illes;2008;71,9365000000000
Balears, Illes;2009;71,8135833333333
Balears, Illes;2010;73,0365000000000
Balears, Illes;2011;75,1228333333333
Balears, Illes;2012;77,0002500000000
Balears, Illes;2013;78,1982500000000
Balears, Illes;2014;78,3587500000000
Balears, Illes;2015;78,2786666666667
Balears, Illes;2016;78,1707500000000
Balears, Illes;2017;79,8346666666667
Balears, Illes;2018;81,0226666666667
Balears, Illes;2019;81,4128333333333
Balears, Illes;2020;81,1693333333333
Balears, Illes;2021;83,8618333333333
Balears, Illes;2022;90,6737500000000
Balears, Illes;2023;94,1998333333333
Balears, Illes;2024;96,9721666666667
Canarias;2008;76,5618333333333
Canarias;2009;75,7882500000000
Canarias;2010;76,5198333333333
Canarias;2011;78,5107500000000
Canarias;2012;80,1034166666667
Canarias;2013;80,6918333333333
Canarias;2014;80,3173333333333
Canarias;2015;79,6775000000000
Canarias;2016;79,4904166666667
Canarias;2017;80,9190833333333
Canarias;2018;82,1674166666667
Canarias;2019;82,4376666666667
Canarias;2020;82,8867500000000
Canarias;2021;84,7268333333333
Canarias;2022;91,1200833333333
Canarias;2023;95,3036666666667
Canarias;2024;97,9426666666667
Cantabria;2008;72,6022500000000
Cantabria;2009;72,3599166666667
Cantabria;2010;73,7223333333333
Cantabria;2011;76,2331666666667
Cantabria;2012;78,2116666666667
Cantabria;2013;79,8708333333333
Cantabria;2014;79,6746666666667
Cantabria;2015;78,9868333333333
Cantabria;2016;78,7095000000000
Cantabria;2017;80,2670833333333
Cantabria;2018;81,6434166666667
Cantabria;2019;82,2044166666667
Cantabria;2020;81,9205000000000
Cantabria;2021;84,5871666666667
Cantabria;2022;91,5793333333333
Cantabria;2023;95,0481666666667
Cantabria;2024;97,5255833333333
Castilla - La Mancha;2008;72,7384166666667
Castilla - La Mancha;2009;71,9014166666667
Castilla - La Mancha;2010;73,3179166666667
Castilla - La Mancha;2011;75,9974166666667
Castilla - La Mancha;2012;77,8200000000000
Castilla - La Mancha;2013;78,8357500000000
Castilla - La Mancha;2014;78,4934166666667
Castilla - La Mancha;2015;77,7224166666667
Castilla - La Mancha;2016;77,3398333333333
Castilla - La Mancha;2017;78,9232500000000
Castilla - La Mancha;2018;80,3893333333333
Castilla - La Mancha;2019;80,8713333333333
Castilla - La Mancha;2020;80,4115833333333
Castilla - La Mancha;2021;83,3787500000000
Castilla - La Mancha;2022;91,8163333333333
Castilla - La Mancha;2023;95,0940000000000
Castilla - La Mancha;2024;97,6806666666667
Castilla y León;2008;72,2826666666667
Castilla y León;2009;71,7668333333333
Castilla y León;2010;73,1276666666667
Castilla y León;2011;75,6549166666667
Castilla y León;2012;77,7675000000000
Castilla y León;2013;78,9580833333333
Castilla y León;2014;78,8103333333333
Castilla y León;2015;78,0901666666667
Castilla y León;2016;77,7901666666667
Castilla y León;2017;79,4475000000000
Castilla y León;2018;80,8234166666667
Castilla y León;2019;81,5019166666667
Castilla y León;2020;81,0512500000000
Castilla y León;2021;83,8996666666667
Castilla y León;2022;91,8329166666667
Castilla y León;2023;94,9885000000000
Castilla y León;2024;97,4683333333333
Cataluña;2008;71,5349166666667
Cataluña;2009;71,6494166666667
Cataluña;2010;73,1093333333333
Cataluña;2011;75,4884166666667
Cataluña;2012;77,6645000000000
Cataluña;2013;79,0063333333333
Cataluña;2014;79,1129166666667
Cataluña;2015;78,9759166666667
Cataluña;2016;79,0239166666667
Cataluña;2017;80,7553333333333
Cataluña;2018;82,2402500000000
Cataluña;2019;82,9450833333333
Cataluña;2020;82,5993333333333
Cataluña;2021;85,0122500000000
Cataluña;2022;91,8115833333333
Cataluña;2023;94,9213333333333
Cataluña;2024;97,6144166666667
Ceuta;2008;75,5687500000000
Ceuta;2009;75,9752500000000
Ceuta;2010;77,1465833333333
Ceuta;2011;78,9751666666667
Ceuta;2012;80,6036666666667
Ceuta;2013;81,1620000000000
Ceuta;2014;81,0807500000000
Ceuta;2015;80,4669166666667
Ceuta;2016;80,3400000000000
Ceuta;2017;81,6003333333333
Ceuta;2018;82,2479166666667
Ceuta;2019;82,5084166666667
Ceuta;2020;82,1634166666667
Ceuta;2021;84,3368333333333
Ceuta;2022;90,8328333333333
Ceuta;2023;94,8009166666667
Ceuta;2024;96,9872500000000
Comunitat Valenciana;2008;73,1747500000000
Comunitat Valenciana;2009;73,0012500000000
Comunitat Valenciana;2010;74,1835000000000
Comunitat Valenciana;2011;76,4796666666667
Comunitat Valenciana;2012;78,3507500000000
Comunitat Valenciana;2013;79,3510000000000
Comunitat Valenciana;2014;79,1535000000000
Comunitat Valenciana;2015;78,8483333333333
Comunitat Valenciana;2016;78,4890000000000
Comunitat Valenciana;2017;79,9846666666667
Comunitat Valenciana;2018;81,3703333333333
Comunitat Valenciana;2019;81,8021666666667
Comunitat Valenciana;2020;81,4730000000000
Comunitat Valenciana;2021;84,1581666666667
Comunitat Valenciana;2022;91,2785833333333
Comunitat Valenciana;2023;94,4990833333333
Comunitat Valenciana;2024;97,1020833333333
Extremadura;2008;73,7626666666667
Extremadura;2009;73,4186666666667
Extremadura;2010;74,6883333333333
Extremadura;2011;77,1033333333333
Extremadura;2012;78,9125833333333
Extremadura;2013;79,9480833333333
Extremadura;2014;79,5034166666667
Extremadura;2015;78,8225833333333
Extremadura;2016;78,6262500000000
Extremadura;2017;79,9427500000000
Extremadura;2018;81,1846666666667
Extremadura;2019;81,6382500000000
Extremadura;2020;81,4939166666667
Extremadura;2021;84,2264166666667
Extremadura;2022;91,7602500000000
Extremadura;2023;94,6757500000000
Extremadura;2024;97,3198333333333
Galicia;2008;72,4330000000000
Galicia;2009;72,0100833333333
Galicia;2010;73,3595000000000
Galicia;2011;75,8381666666667
Galicia;2012;77,6356666666667
Galicia;2013;78,7875833333333
Galicia;2014;78,7970833333333
Galicia;2015;78,2363333333333
Galicia;2016;77,9985833333333
Galicia;2017;79,6480000000000
Galicia;2018;80,9675000000000
Galicia;2019;81,4237500000000
Galicia;2020;81,1474166666667
Galicia;2021;83,9924166666667
Galicia;2022;91,5843333333333
Galicia;2023;94,8769166666667
Galicia;2024;97,6729166666667
Madrid, Comunidad de;2008;73,9886666666667
Madrid, Comunidad de;2009;73,9405000000000
Madrid, Comunidad de;2010;75,3052500000000
