ccaa;año;ipv
Andalucía;2008;134,53425
Andalucía;2009;130,16250
Andalucía;2010;128,10850
Andalucía;2011;120,47600
Andalucía;2012;106,26725
Andalucía;2013;96,92300
Andalucía;2014;97,07700
Andalucía;2015;100,00000
Andalucía;2016;102,84150
Andalucía;2017;106,10075
Andalucía;2018;111,37050
Andalucía;2019;117,35775
Andalucía;2020;120,09750
Andalucía;2021;125,59800
Andalucía;2022;136,78550
Andalucía;2023;143,56825
Andalucía;2024;158,47125
Aragón;2008;171,54975
Aragón;2009;156,46625
Aragón;2010;147,96400
Aragón;2011;135,82575
Aragón;2012;116,26175
Aragón;2013;101,49225
Aragón;2014;99,15700
Aragón;2015;100,00000
Aragón;2016;101,89550
Aragón;2017;104,78800
Aragón;2018;109,83750
Aragón;2019;116,51350
Aragón;2020;119,48750
Aragón;2021;124,01900
Aragón;2022;131,96000
Aragón;2023;137,11350
Aragón;2024;151,03750
Asturias, Principado de;2008;145,64725
Asturias, Principado de;2009;144,29775
Asturias, Principado de;2010;142,19550
Asturias, Principado de;2011;134,02650
Asturias, Principado de;2012;114,53625
Asturias, Principado de;2013;100,76350
Asturias, Principado de;2014;98,51050
Asturias, Principado de;2015;100,00000
Asturias, Principado de;2016;101,41800
Asturias, Principado de;2017;102,53550
Asturias, Principado de;2018;106,12325
Asturias, Principado de;2019;110,56050
Asturias, Principado de;2020;114,07225
Asturias, Principado de;2021;118,80725
Asturias, Principado de;2022;126,18175
Asturias, Principado de;2023;130,90075
Asturias, Principado de;2024;141,09650
Balears, Illes;2008;137,52600
Balears, Illes;2009;126,27800
Balears, Illes;2010;123,72950
Balears, Illes;2011;116,97975
Balears, Illes;2012;100,78925
Balears, Illes;2013;93,58050
Balears, Illes;2014;93,98725
Balears, Illes;2015;100,00025
Balears, Illes;2016;106,17600
Balears, Illes;2017;114,62700
Balears, Illes;2018;123,18500
Balears, Illes;2019;130,59725
Balears, Illes;2020;135,89875
Balears, Illes;2021;143,80300
Balears, Illes;2022;157,03375
Balears, Illes;2023;163,44300
Balears, Illes;2024;174,24350
Canarias;2008;139,78200
Canarias;2009;134,44050
Canarias;2010;131,10825
Canarias;2011;123,61050
Canarias;2012;107,17350
Canarias;2013;97,95325
Canarias;2014;96,71075
Canarias;2015;99,99975
Canarias;2016;103,34375
Canarias;2017;107,88825
Canarias;2018;113,27625
Canarias;2019;117,58700
Canarias;2020;118,96000
Canarias;2021;125,79175
Canarias;2022;137,24025
Canarias;2023;144,51000
Canarias;2024;156,09450
Cantabria;2008;153,98000
Cantabria;2009;143,50650
Cantabria;2010;134,88575
Cantabria;2011;122,39675
Cantabria;2012;105,10725
Cantabria;2013;95,56100
Cantabria;2014;97,21100
Cantabria;2015;100,00000
Cantabria;2016;102,54725
Cantabria;2017;106,68275
Cantabria;2018;112,93800
Cantabria;2019;116,42325
Cantabria;2020;117,82925
Cantabria;2021;124,30250
Cantabria;2022;136,34300
Cantabria;2023;143,35800
Cantabria;2024;156,31250
Castilla - La Mancha;2008;149,22175
Castilla - La Mancha;2009;144,76975
Castilla - La Mancha;2010;143,13675
Castilla - La Mancha;2011;133,94575
Castilla - La Mancha;2012;118,44325
Castilla - La Mancha;2013;100,52050
Castilla - La Mancha;2014;97,84550
Castilla - La Mancha;2015;100,00000
Castilla - La Mancha;2016;100,83750
Castilla - La Mancha;2017;101,58225
Castilla - La Mancha;2018;103,97525
Castilla - La Mancha;2019;107,64300
Castilla - La Mancha;2020;109,02950
Castilla - La Mancha;2021;111,66900
Castilla - La Mancha;2022;118,28400
Castilla - La Mancha;2023;120,26825
Castilla - La Mancha;2024;128,03175
Castilla y León;2008;152,99900
Castilla y León;2009;148,89600
Castilla y León;2010;144,79100
Castilla y León;2011;135,80025
Castilla y León;2012;117,85475
Castilla y León;2013;101,21550
Castilla y León;2014;98,77450
Castilla y León;2015;100,00000
Castilla y León;2016;101,05650
Castilla y León;2017;102,71025
Castilla y León;2018;106,92050
Castilla y León;2019;112,08325
Castilla y León;2020;114,71950
Castilla y León;2021;118,79950
Castilla y León;2022;125,98775
Castilla y León;2023;129,53800
Castilla y León;2024;139,70600
Cataluña;2008;162,19850
Cataluña;2009;143,71575
Cataluña;2010;139,89250
Cataluña;2011;126,52225
Cataluña;2012;106,51325
Cataluña;2013;94,33725
Cataluña;2014;95,39600
Cataluña;2015;100,00000
Cataluña;2016;107,02025
Cataluña;2017;117,25950
Cataluña;2018;127,54825
Cataluña;2019;134,14400
Cataluña;2020;136,89225
Cataluña;2021;141,62275
Cataluña;2022;151,70100
Cataluña;2023;157,01000
Cataluña;2024;168,59225
Ceuta;2008;137,43600
Ceuta;2009;131,51875
Ceuta;2010;126,51600
Ceuta;2011;115,55525
Ceuta;2012;101,32275
Ceuta;2013;94,83400
Ceuta;2014;95,13175
Ceuta;2015;100,00025
Ceuta;2016;105,15500
Ceuta;2017;112,25100
Ceuta;2018;121,76625
Ceuta;2019;131,16450
Ceuta;2020;136,95350
Ceuta;2021;142,03450
Ceuta;2022;154,23675
Ceuta;2023;162,74175
Ceuta;2024;177,56675
Comunitat Valenciana;2008;145,20625
Comunitat Valenciana;2009;137,29825
Comunitat Valenciana;2010;133,01975
Comunitat Valenciana;2011;123,15375
Comunitat Valenciana;2012;106,44400
Comunitat Valenciana;2013;96,84025
Comunitat Valenciana;2014;97,65950
Comunitat Valenciana;2015;100,00000
Comunitat Valenciana;2016;102,61200
Comunitat Valenciana;2017;105,38450
Comunitat Valenciana;2018;109,67625
Comunitat Valenciana;2019;114,30600
Comunitat Valenciana;2020;116,81375
Comunitat Valenciana;2021;121,86600
Comunitat Valenciana;2022;130,63600
Comunitat Valenciana;2023;135,92075
Comunitat Valenciana;2024;148,23275
Extremadura;2008;137,78475
Extremadura;2009;137,25975
Extremadura;2010;139,24800
Extremadura;2011;130,76325
Extremadura;2012;120,06550
Extremadura;2013;102,35625
Extremadura;2014;98,12575
Extremadura;2015;100,00000
Extremadura;2016;101,42975
Extremadura;2017;101,84975
Extremadura;2018;103,73700
Extremadura;2019;105,76475
Extremadura;2020;106,30875
Extremadura;2021;108,77150
Extremadura;2022;114,61175
Extremadura;2023;116,36375
Extremadura;2024;124,85650
Galicia;2008;140,43925
Galicia;2009;138,72000
Galicia;2010;136,01100
Galicia;2011;129,10325
Galicia;2012;112,38450
Galicia;2013;99,83425
Galicia;2014;98,65500
Galicia;2015;100,00000
Galicia;2016;101,95700
Galicia;2017;103,71650
Galicia;2018;107,67300
Galicia;2019;111,99800
Galicia;2020;114,51600
Galicia;2021;119,78025
Galicia;2022;127,68475
Galicia;2023;132,30625
Galicia;2024;142,15450
Madrid, Comunidad de;2008;149,45850
Madrid, Comunidad de;2009;133,98125
Madrid, Comunidad de;2010;134,50850
Madrid, Comunidad de;2011;122,82650
Madrid, Comunidad de;2012;103,98425
Madrid, Comunidad de;2013;92,20300
Madrid, Comunidad de;2014;94,57200
Madrid, Comunidad de;2015;100,00000
Madrid, Comunidad de;2016;108,56650
Madrid, Comunidad de;2017;121,00300
Madrid, Comunidad de;2018;133,32475
Madrid, Comunidad de;2019;141,14200
Madrid, Comunidad de;2020;143,56000
Madrid, Comunidad de;2021;147,20600
Madrid, Comunidad de;2022;157,23225
Madrid, Comunidad de;2023;163,41450
Madrid, Comunidad de;2024;175,95175
Melilla;2008;134,16500
Melilla;2009;137,01000
Melilla;2010;137,67875
Melilla;2011;124,83675
Melilla;2012;110,05025
Melilla;2013;96,16875
Melilla;2014;96,60025
Melilla;2015;99,99975
Melilla;2016;105,34050
Melilla;2017;110,87450
Melilla;2018;119,51200
Melilla;2019;125,78550
Melilla;2020;131,44375
Melilla;2021;139,77525
Melilla;2022;151,47625
Melilla;2023;159,57175
Melilla;2024;172,35850
Murcia, Región de;2008;140,30300
Murcia, Región de;2009;138,88175
Murcia, Región de;2010;137,44350
Murcia, Región de;2011;130,49675
Murcia, Región de;2012;115,92550
Murcia, Región de;2013;98,18025
Murcia, Región de;2014;98,36500
Murcia, Región de;2015;100,00000
Murcia, Región de;2016;101,39675
Murcia, Región de;2017;102,61200
Murcia, Región de;2018;106,14000
Murcia, Región de;2019;110,97300
Murcia, Región de;2020;114,37825
Murcia, Región de;2021;120,32750
Murcia, Región de;2022;129,51475
Murcia, Región de;2023;132,50500
Murcia, Región de;2024;143,76675
Navarra, Comunidad Foral de;2008;179,10800
Navarra, Comunidad Foral de;2009;161,20400
Navarra, Comunidad Foral de;2010;151,05750
Navarra, Comunidad Foral de;2011;139,46275
Navarra, Comunidad Foral de;2012;119,90250
Navarra, Comunidad Foral de;2013;106,28500
Navarra, Comunidad Foral de;2014;99,39475
Navarra, Comunidad Foral de;2015;100,00000
Navarra, Comunidad Foral de;2016;101,67650
Navarra, Comunidad Foral de;2017;103,93525
Navarra, Comunidad Foral de;2018;107,55700
Navarra, Comunidad Foral de;2019;111,61350
Navarra, Comunidad Foral de;2020;113,49125
Navarra, Comunidad Foral de;2021;116,68900
Navarra, Comunidad Foral de;2022;125,15275
Navarra, Comunidad Foral de;2023;132,56650
Navarra, Comunidad Foral de;2024;146,35900
País Vasco;2008;157,06150
País Vasco;2009;140,91525
País Vasco;2010;138,61975
País Vasco;2011;127,96575
País Vasco;2012;108,61400
País Vasco;2013;99,53525
País Vasco;2014;99,03950
País Vasco;2015;100,00000
País Vasco;2016;102,57375
País Vasco;2017;107,89050
País Vasco;2018;113,74800
País Vasco;2019;118,68750
País Vasco;2020;121,36200
País Vasco;2021;123,88250
País Vasco;2022;131,76500
País Vasco;2023;136,31625
País Vasco;2024;147,89700
Rioja, La;2008;170,41600
Rioja, La;2009;161,12450
Rioja, La;2010;155,02300
Rioja, La;2011;137,90925
Rioja, La;2012;117,83300
Rioja, La;2013;101,72300
