ccaa;año;emig_2034;pob_2034;parados_adulto;parados_joven;activos_adulto;activos_joven;pib_crec;ipv;salario;ipc;tasa_emig_2034;paro_joven;paro_adulto;ratio_paro_jov_adult;salario_real;post2013;post2014;post2021
Andalucía;2008;1452;1701697;273,4;302,5;1856,6;1504,4;0,0997;134,53425;1601,8;73,1712500000000;0,853265886935218;20,10768412656208;14,72584293870516;1,36546914225952;2189,11116046261;0;0;0
Andalucía;2009;1448;1672609;416,8;439,4;1940,0;1497,9;-4,1104;130,16250;1659,9;72,8320000000000;0,865713385495355;29,33440149542693;21,48453608247423;1,36537281432649;2279,08062390158;0;0;0
Andalucía;2010;1640;1640692;481,6;482,8;2016,3;1480,2;-1,3288;128,10850;1658,8;74,1363333333333;0,999578226748226;32,61721389001486;23,88533452363240;1,36557492455226;2237,49938176962;0;0;0
Andalucía;2011;2282;1607235;546,8;509,4;2081,1;1426,2;-0,2727;120,47600;1677,0;76,5245000000000;1,419829707541212;35,71729070256626;26,27456633511124;1,35938649745996;2191,45502420793;0;0;0
Andalucía;2012;2473;1569038;651,7;567,0;2166,7;1383,7;-3,4876;106,26725;1639,0;78,1778333333333;1,576124988687336;40,97709040977090;30,07799880001847;1,36236092973532;2096,50220544187;0;0;0
Andalucía;2013;3071;1527767;689,1;586,7;2183,7;1334,2;-1,9247;96,92300;1645,4;79,1730000000000;2,010123271415078;43,97391695397992;31,55653249072675;1,39349648022647;2078,23374130070;1;0;0
Andalucía;2014;3656;1489296;692,9;531,9;2216,7;1286,7;1,7129;97,07700;1645,5;78,9539166666667;2,454851151147925;41,33830729773840;31,25817656877340;1,32247980642079;2084,12713323278;1;1;0
Andalucía;2015;4380;1448101;637,9;463,4;2247,1;1224,7;3,7532;100,00000;1653,9;78,5214166666667;3,024650904874729;37,83783783783783;28,38769970183793;1,33289552289395;2106,30433098401;1;1;0
Andalucía;2016;4194;1404918;574,9;414,1;2230,3;1152,7;2,3512;102,84150;1686,4;78,3772500000000;2,985227607589909;35,92435152251237;25,77680132717571;1,39366987651173;2151,64476936866;1;1;0
Andalucía;2017;3535;1367491;484,2;362,9;2208,9;1119,5;2,5355;106,10075;1681,3;79,9022500000000;2,585026153737026;32,41625725770433;21,92041287518674;1,47881599868945;2104,19606456639;1;1;0
