ccaa;año;parados_adulto;parados_joven
Andalucía;2008;273,4;302,5
Andalucía;2009;416,8;439,4
Andalucía;2010;481,6;482,8
Andalucía;2011;546,8;509,4
Andalucía;2012;651,7;567,0
Andalucía;2013;689,1;586,7
Andalucía;2014;692,9;531,9
Andalucía;2015;637,9;463,4
Andalucía;2016;574,9;414,1
Andalucía;2017;484,2;362,9
Andalucía;2018;431,1;319,4
Andalucía;2019;415,7;282,6
Andalucía;2020;407,2;315,4
Andalucía;2021;412,8;299,1
Andalucía;2022;368,1;245,0
Andalucía;2023;335,1;250,3
Andalucía;2024;308,2;223,5
Aragón;2008;18,2;23,8
Aragón;2009;38,9;39,3
Aragón;2010;45,0;42,9
Aragón;2011;51,9;48,1
Aragón;2012;56,9;53,2
Aragón;2013;68,0;52,4
Aragón;2014;61,8;51,8
Aragón;2015;53,3;39,2
Aragón;2016;46,7;34,5
Aragón;2017;35,6;26,5
Aragón;2018;32,8;21,5
Aragón;2019;29,2;23,4
Aragón;2020;33,3;28,2
Aragón;2021;30,2;23,8
Aragón;2022;29,8;20,4
Aragón;2023;26,6;18,1
Aragón;2024;20,3;20,8
Asturias, Principado de;2008;17,6;19,5
Asturias, Principado de;2009;25,8;32,7
Asturias, Principado de;2010;31,2;37,5
Asturias, Principado de;2011;38,1;38,8
Asturias, Principado de;2012;52,9;45,3
Asturias, Principado de;2013;59,3;48,6
Asturias, Principado de;2014;49,5;38,9
Asturias, Principado de;2015;47,1;30,0
Asturias, Principado de;2016;41,7;31,4
Asturias, Principado de;2017;33,3;20,2
Asturias, Principado de;2018;32,4;19,8
Asturias, Principado de;2019;33,6;20,2
Asturias, Principado de;2020;30,7;21,5
Asturias, Principado de;2021;26,9;18,3
Asturias, Principado de;2022;25,0;18,5
Asturias, Principado de;2023;24,9;16,0
Asturias, Principado de;2024;19,8;13,1
Balears, Illes;2008;21,6;28,6
Balears, Illes;2009;46,5;46,6
Balears, Illes;2010;51,4;51,7
Balears, Illes;2011;56,0;56,7
Balears, Illes;2012;60,8;60,8
Balears, Illes;2013;59,5;59,0
Balears, Illes;2014;53,5;46,3
Balears, Illes;2015;46,7;41,6
Balears, Illes;2016;35,4;37,1
Balears, Illes;2017;32,4;28,0
Balears, Illes;2018;36,1;24,8
Balears, Illes;2019;33,5;28,4
Balears, Illes;2020;44,3;40,5
Balears, Illes;2021;40,2;34,0
Balears, Illes;2022;31,0;23,8
Balears, Illes;2023;27,3;24,6
Balears, Illes;2024;24,3;24,1
Canarias;2008;75,8;75,7
Canarias;2009;124,2;118,7
Canarias;2010;142,6;124,2
Canarias;2011;148,8;132,2
Canarias;2012;171,6;148,5
Canarias;2013;176,7;151,7
Canarias;2014;181,4;129,9
Canarias;2015;154,2;123,5
Canarias;2016;142,7;97,8
Canarias;2017;129,9;84,7
Canarias;2018;109,8;76,2
Canarias;2019;115,7;77,8
Canarias;2020;119,0;86,1
Canarias;2021;110,2;93,6
Canarias;2022;87,9;71,3
Canarias;2023;81,8;62,5
Canarias;2024;72,9;50,5
Cantabria;2008;8,5;9,7
Cantabria;2009;14,0;17,2
Cantabria;2010;16,3;18,0
Cantabria;2011;19,0;19,6
Cantabria;2012;24,7;20,7
Cantabria;2013;27,4;24,0
Cantabria;2014;26,5;20,8
Cantabria;2015;25,2;17,1
Cantabria;2016;21,3;14,6
Cantabria;2017;18,1;13,8
Cantabria;2018;14,6;9,3
Cantabria;2019;13,9;9,8
Cantabria;2020;15,5;11,1
Cantabria;2021;14,8;10,6
Cantabria;2022;11,3;9,5
Cantabria;2023;9,9;7,6
Cantabria;2024;10,4;6,6
Castilla - La Mancha;2008;44,5;53,1
Castilla - La Mancha;2009;76,8;86,2
Castilla - La Mancha;2010;87,4;97,1
Castilla - La Mancha;2011;100,8;108,1
Castilla - La Mancha;2012;129,7;124,6
Castilla - La Mancha;2013;135,8;127,3
Castilla - La Mancha;2014;127,0;120,9
Castilla - La Mancha;2015;116,2;104,7
Castilla - La Mancha;2016;110,0;82,2
Castilla - La Mancha;2017;100,4;71,5
Castilla - La Mancha;2018;85,9;60,6
Castilla - La Mancha;2019;69,3;56,3
Castilla - La Mancha;2020;73,6;65,0
Castilla - La Mancha;2021;65,4;57,7
Castilla - La Mancha;2022;64,2;51,4
Castilla - La Mancha;2023;61,2;43,3
Castilla - La Mancha;2024;59,5;47,9
Castilla y León;2008;48,1;50,1
Castilla y León;2009;73,3;68,7
Castilla y León;2010;82,6;81,7
Castilla y León;2011;89,5;86,6
Castilla y León;2012;106,6;97,9
Castilla y León;2013;120,3;99,0
Castilla y León;2014;114,4;90,2
Castilla y León;2015;101,4;74,9
Castilla y León;2016;89,6;60,5
Castilla y León;2017;78,2;51,5
Castilla y León;2018;64,2;44,5
Castilla y León;2019;58,4;42,9
Castilla y León;2020;57,5;47,1
Castilla y León;2021;57,3;44,3
Castilla y León;2022;46,5;36,2
Castilla y León;2023;45,0;37,5
Castilla y León;2024;40,1;36,1
Cataluña;2008;138,4;157,6
Cataluña;2009;250,9;294,9
Cataluña;2010;292,6;298,2
Cataluña;2011;341,3;311,9
Cataluña;2012;408,3;348,5
Cataluña;2013;427,0;333,0
Cataluña;2014;372,4;279,2
Cataluña;2015;331,0;235,5
Cataluña;2016;285,8;197,7
Cataluña;2017;236,4;166,6
Cataluña;2018;193,9;152,5
Cataluña;2019;188,0;152,3
Cataluña;2020;207,0;189,2
Cataluña;2021;200,1;174,5
Cataluña;2022;174,2;133,8
Cataluña;2023;149,8;141,9
Cataluña;2024;145,8;128,3
