ccaa;año;salario
Andalucía;2008;1601,8
Andalucía;2009;1659,9
Andalucía;2010;1658,8
Andalucía;2011;1677,0
Andalucía;2012;1639,0
Andalucía;2013;1645,4
Andalucía;2014;1645,5
Andalucía;2015;1653,9
Andalucía;2016;1686,4
Andalucía;2017;1681,3
Andalucía;2018;1749,0
Andalucía;2019;1773,0
Andalucía;2020;1837,3
Andalucía;2021;1864,5
Andalucía;2022;1906,8
Andalucía;2023;2100,7
Andalucía;2024;2146,5
Aragón;2008;1820,0
Aragón;2009;1904,8
Aragón;2010;1894,4
Aragón;2011;1870,6
Aragón;2012;1887,4
Aragón;2013;1842,7
Aragón;2014;1875,2
Aragón;2015;1938,6
Aragón;2016;1824,6
Aragón;2017;1906,4
Aragón;2018;1951,4
Aragón;2019;1958,4
Aragón;2020;1972,4
Aragón;2021;1975,3
Aragón;2022;2040,8
Aragón;2023;2243,8
Aragón;2024;2353,5
Asturias, Principado de;2008;1747,8
Asturias, Principado de;2009;1842,0
Asturias, Principado de;2010;1897,3
Asturias, Principado de;2011;1914,6
Asturias, Principado de;2012;1908,3
Asturias, Principado de;2013;1956,6
Asturias, Principado de;2014;1907,8
Asturias, Principado de;2015;1957,3
Asturias, Principado de;2016;1957,3
Asturias, Principado de;2017;1958,3
Asturias, Principado de;2018;1977,1
Asturias, Principado de;2019;2078,3
Asturias, Principado de;2020;2161,5
Asturias, Principado de;2021;2083,6
Asturias, Principado de;2022;2096,7
Asturias, Principado de;2023;2228,5
Asturias, Principado de;2024;2319,8
Balears, Illes;2008;1617,0
Balears, Illes;2009;1720,5
Balears, Illes;2010;1724,8
Balears, Illes;2011;1734,0
Balears, Illes;2012;1681,2
Balears, Illes;2013;1761,1
Balears, Illes;2014;1707,5
Balears, Illes;2015;1747,2
Balears, Illes;2016;1749,3
Balears, Illes;2017;1797,3
Balears, Illes;2018;1862,6
Balears, Illes;2019;1940,2
Balears, Illes;2020;1844,9
Balears, Illes;2021;2066,2
Balears, Illes;2022;2305,8
Balears, Illes;2023;2237,1
Balears, Illes;2024;2342,2
Canarias;2008;1569,9
Canarias;2009;1633,0
Canarias;2010;1629,3
Canarias;2011;1627,9
Canarias;2012;1620,3
Canarias;2013;1617,3
Canarias;2014;1621,6
Canarias;2015;1574,0
Canarias;2016;1631,8
Canarias;2017;1606,6
Canarias;2018;1679,3
Canarias;2019;1750,0
Canarias;2020;1775,7
Canarias;2021;1954,8
Canarias;2022;1879,6
Canarias;2023;1987,9
Canarias;2024;2051,7
Cantabria;2008;1798,1
Cantabria;2009;1818,3
Cantabria;2010;1875,0
Cantabria;2011;1885,8
Cantabria;2012;1861,3
Cantabria;2013;1873,0
Cantabria;2014;1904,7
Cantabria;2015;1855,4
Cantabria;2016;1910,4
Cantabria;2017;1897,3
Cantabria;2018;1972,4
Cantabria;2019;1959,8
Cantabria;2020;1941,0
Cantabria;2021;2064,8
Cantabria;2022;2125,9
Cantabria;2023;2317,0
Cantabria;2024;2327,2
Castilla - La Mancha;2008;1646,7
Castilla - La Mancha;2009;1709,4
Castilla - La Mancha;2010;1756,7
Castilla - La Mancha;2011;1790,1
Castilla - La Mancha;2012;1706,7
Castilla - La Mancha;2013;1768,5
Castilla - La Mancha;2014;1740,4
Castilla - La Mancha;2015;1788,1
Castilla - La Mancha;2016;1787,4
Castilla - La Mancha;2017;1765,2
Castilla - La Mancha;2018;1776,6
Castilla - La Mancha;2019;1880,9
Castilla - La Mancha;2020;1892,3
Castilla - La Mancha;2021;1926,1
Castilla - La Mancha;2022;1954,6
Castilla - La Mancha;2023;2025,2
Castilla - La Mancha;2024;2221,5
Castilla y León;2008;1705,5
Castilla y León;2009;1779,9
Castilla y León;2010;1777,2
Castilla y León;2011;1788,8
Castilla y León;2012;1828,1
Castilla y León;2013;1852,9
Castilla y León;2014;1788,5
Castilla y León;2015;1841,6
Castilla y León;2016;1819,8
Castilla y León;2017;1836,7
Castilla y León;2018;1843,9
Castilla y León;2019;1904,3
Castilla y León;2020;1950,5
Castilla y León;2021;1990,3
Castilla y León;2022;2061,3
Castilla y León;2023;2176,5
Castilla y León;2024;2299,1
Cataluña;2008;1882,4
Cataluña;2009;1894,7
Cataluña;2010;1908,4
Cataluña;2011;1912,8
Cataluña;2012;1926,0
Cataluña;2013;1928,0
Cataluña;2014;1953,3
Cataluña;2015;2003,8
Cataluña;2016;1952,0
Cataluña;2017;1992,9
Cataluña;2018;2067,6
Cataluña;2019;2143,5
Cataluña;2020;2158,2
Cataluña;2021;2174,8
Cataluña;2022;2261,5
Cataluña;2023;2439,1
Cataluña;2024;2529,9
Ceuta;2008;2104,2
Ceuta;2009;2101,5
Ceuta;2010;2456,3
Ceuta;2011;1923,6
Ceuta;2012;2202,9
Ceuta;2013;2293,6
Ceuta;2014;2173,6
Ceuta;2015;2064,9
Ceuta;2016;2288,5
Ceuta;2017;2115,4
Ceuta;2018;2157,0
Ceuta;2019;2323,3
Ceuta;2020;2257,2
Ceuta;2021;2243,9
Ceuta;2022;2169,5
Ceuta;2023;2284,5
Ceuta;2024;2739,0
Comunitat Valenciana;2008;1578,1
Comunitat Valenciana;2009;1613,0
Comunitat Valenciana;2010;1686,7
Comunitat Valenciana;2011;1709,2
Comunitat Valenciana;2012;1729,8
Comunitat Valenciana;2013;1741,1
Comunitat Valenciana;2014;1745,5
Comunitat Valenciana;2015;1674,8
Comunitat Valenciana;2016;1736,0
Comunitat Valenciana;2017;1677,8
Comunitat Valenciana;2018;1784,8
Comunitat Valenciana;2019;1860,9
Comunitat Valenciana;2020;1920,7
Comunitat Valenciana;2021;1945,3
Comunitat Valenciana;2022;1937,4
Comunitat Valenciana;2023;2079,9
Comunitat Valenciana;2024;2181,2
Extremadura;2008;1581,5
Extremadura;2009;1510,2
Extremadura;2010;1626,4
Extremadura;2011;1554,5
Extremadura;2012;1587,9
Extremadura;2013;1622,4
Extremadura;2014;1588,8
Extremadura;2015;1549,9
Extremadura;2016;1613,0
Extremadura;2017;1583,4
Extremadura;2018;1612,3
Extremadura;2019;1682,6
Extremadura;2020;1760,5
Extremadura;2021;1628,2
Extremadura;2022;1841,2
Extremadura;2023;1915,9
Extremadura;2024;2127,2
Galicia;2008;1685,7
Galicia;2009;1734,8
Galicia;2010;1722,5
Galicia;2011;1786,9
Galicia;2012;1758,0
Galicia;2013;1728,7
Galicia;2014;1775,0
Galicia;2015;1780,9
Galicia;2016;1787,3
Galicia;2017;1869,8
Galicia;2018;1834,5
Galicia;2019;1889,1
Galicia;2020;1941,9
Galicia;2021;1992,3
Galicia;2022;2038,6
Galicia;2023;2136,1
Galicia;2024;2229,7
Madrid, Comunidad de;2008;2049,1
Madrid, Comunidad de;2009;2052,8
Madrid, Comunidad de;2010;2099,4
Madrid, Comunidad de;2011;2053,6
Madrid, Comunidad de;2012;2119,1
Madrid, Comunidad de;2013;2198,7
Madrid, Comunidad de;2014;2272,7
Madrid, Comunidad de;2015;2265,8
Madrid, Comunidad de;2016;2165,8
Madrid, Comunidad de;2017;2191,7
Madrid, Comunidad de;2018;2264,6
Madrid, Comunidad de;2019;2172,1
Madrid, Comunidad de;2020;2350,2
Madrid, Comunidad de;2021;2358,3
Madrid, Comunidad de;2022;2374,5
Madrid, Comunidad de;2023;2575,5
Madrid, Comunidad de;2024;2761,8
Melilla;2008;2274,8
Melilla;2009;2364,0
Melilla;2010;1909,2
Melilla;2011;2543,7
Melilla;2012;2105,9
Melilla;2013;1999,8
Melilla;2014;2384,2
Melilla;2015;2147,4
Melilla;2016;2138,7
Melilla;2017;2475,8
Melilla;2018;2231,1
Melilla;2019;2291,7
Melilla;2020;2662,6
Melilla;2021;2122,1
Melilla;2022;2169,7
Melilla;2023;2363,3
Melilla;2024;2502,2
Murcia, Región de;2008;1613,1
Murcia, Región de;2009;1708,2
Murcia, Región de;2010;1613,1
Murcia, Región de;2011;1687,2
Murcia, Región de;2012;1690,6
Murcia, Región de;2013;1541,1
Murcia, Región de;2014;1643,8
Murcia, Región de;2015;1692,0
Murcia, Región de;2016;1627,9
Murcia, Región de;2017;1684,2
Murcia, Región de;2018;1761,8
Murcia, Región de;2019;1774,8
Murcia, Región de;2020;1843,4
Murcia, Región de;2021;1878,0
Murcia, Región de;2022;1865,6
Murcia, Región de;2023;2027,2
Murcia, Región de;2024;2120,9
Navarra, Comunidad Foral de;2008;1870,7
Navarra, Comunidad Foral de;2009;1981,9
Navarra, Comunidad Foral de;2010;2099,2
Navarra, Comunidad Foral de;2011;2038,5
Navarra, Comunidad Foral de;2012;2082,4
Navarra, Comunidad Foral de;2013;2126,4
Navarra, Comunidad Foral de;2014;2051,7
Navarra, Comunidad Foral de;2015;2056,3
Navarra, Comunidad Foral de;2016;2085,2
Navarra, Comunidad Foral de;2017;2177,8
Navarra, Comunidad Foral de;2018;2049,8
Navarra, Comunidad Foral de;2019;2217,0
Navarra, Comunidad Foral de;2020;2209,2
Navarra, Comunidad Foral de;2021;2280,4
Navarra, Comunidad Foral de;2022;2292,5
Navarra, Comunidad Foral de;2023;2515,7
Navarra, Comunidad Foral de;2024;2589,1
País Vasco;2008;2112,6
País Vasco;2009;2118,5
País Vasco;2010;2097,7
País Vasco;2011;2114,7
País Vasco;2012;2131,2
País Vasco;2013;2162,0
País Vasco;2014;2147,2
País Vasco;2015;2250,2
País Vasco;2016;2235,2
País Vasco;2017;2208,8
País Vasco;2018;2241,8
País Vasco;2019;2332,6
País Vasco;2020;2278,8
País Vasco;2021;2440,8
País Vasco;2022;2517,9
País Vasco;2023;2624,3
País Vasco;2024;2809,9
Rioja, La;2008;1711,7
Rioja, La;2009;1796,5
Rioja, La;2010;1809,0
Rioja, La;2011;1824,4
Rioja, La;2012;1818,5
Rioja, La;2013;1827,1
Rioja, La;2014;1830,4
Rioja, La;2015;1811,8
Rioja, La;2016;1841,8
Rioja, La;2017;1838,4
Rioja, La;2018;1865,7
Rioja, La;2019;1987,4
Rioja, La;2020;1947,3
Rioja, La;2021;1949,1
Rioja, La;2022;2084,8
Rioja, La;2023;2248,9
Rioja, La;2024;2366,0
